sample,field,id,z,z_type,logM,logM_elo,logM_ehi,av,av_code,av_fast,logssfr,logage_lw,logage_fit,uv,vj,quiescent_uvj,re_arcsec,re_kpc,band,lam_rest_A,re_5000_kpc,q,n,n_err,flag,primary,re_limit
LEGA-C,COSMOS,26292,0.8866,spec,11.032,0.3599999999999994,0.0,0.284,MAGPHYS (de Graaff+21),0.4,-11.37,0.6470000000000002,0.6470000000000002,1.9474907520190443,1.1010230290722958,True,0.2235,1.7337461895650947,F814W,4314.640093289516,1.6710104359596392,0.8177,1.7462,0.3003,1.0,1.0,0.0
LEGA-C,COSMOS,26357,0.706,spec,10.794,0.1699999999999999,0.0599999999999987,0.412,MAGPHYS (de Graaff+21),0.4,-10.92,0.5419999999999998,0.5419999999999998,1.8829497682191716,1.249310188834422,True,0.4302,3.084617760936304,F814W,4771.395076201641,3.048738662661178,0.4812,2.4289,0.4178,0.0,1.0,0.0
LEGA-C,COSMOS,26438,0.6712,spec,11.02,0.0499999999999989,0.0700000000000002,0.5,MAGPHYS (de Graaff+21),0.7,-11.42,0.5470000000000006,0.5470000000000006,1.888735674719912,1.036872756731493,True,0.5434,3.816975426595176,F814W,4870.75155576831,3.7920657369572206,0.5355,2.4027,0.4133,0.0,1.0,0.0
LEGA-C,COSMOS,26557,0.7327,spec,11.104,0.0199999999999995,0.0900000000000016,0.896,MAGPHYS (de Graaff+21),0.5,-10.22,0.3569999999999993,0.3569999999999993,1.4964025814332298,1.1925548166980915,False,1.4899,10.837851713551192,F814W,4697.870375714204,10.670283560746496,0.676,2.5267,0.4346,0.0,1.0,0.0
LEGA-C,COSMOS,26693,0.7362,spec,10.751,0.0700000000000002,0.0700000000000002,0.851,MAGPHYS (de Graaff+21),0.6,-11.27,0.5869999999999997,0.5869999999999997,1.9013580412959497,1.2709080134873807,True,0.7303,5.321959045640118,F814W,4688.39995392236,5.237031550845391,0.4159,5.5071,0.9472,0.0,1.0,0.0
LEGA-C,COSMOS,27062,0.6631,spec,11.305,0.1500000000000003,0.0300000000000011,0.617,MAGPHYS (de Graaff+21),0.6,-11.57,0.5869999999999997,0.5869999999999997,2.0238963464768336,1.1634554972050442,True,0.7041,4.920608732280286,F814W,4894.47417473393,4.894438121313965,0.8798,4.6519,0.8001,0.0,1.0,0.0
LEGA-C,COSMOS,27068,0.6783,spec,11.267,0.1199999999999992,0.0899999999999998,1.33,MAGPHYS (de Graaff+21),0.8,-11.27,0.657,0.657,2.0703613652463955,1.413797417999234,True,0.9097,6.417945045106905,F814W,4850.145981052255,6.369307193539852,0.783,2.7993,0.4815,0.0,1.0,0.0
LEGA-C,COSMOS,27265,0.7329,spec,10.952,0.0600000000000005,0.0700000000000002,0.466,MAGPHYS (de Graaff+21),0.3,-11.12,0.5719999999999992,0.5719999999999992,1.9961076886991824,1.3054003647468782,True,0.3982,2.8968924080755007,F814W,4697.328178198396,2.852020154987521,0.619,3.2835,0.5648,0.0,1.0,0.0
LEGA-C,COSMOS,27426,0.8092,spec,10.896,0.0700000000000002,0.0699999999999985,0.884,MAGPHYS (de Graaff+21),1.9,-9.675,0.1720000000000006,0.1720000000000006,1.3677610246512053,1.3216658127513452,False,0.6243,4.705618724270633,F814W,4499.226177315941,4.583093217649417,0.5961,1.7214,0.2961,0.0,1.0,0.0
LEGA-C,COSMOS,27460,0.7386,spec,10.603,0.0499999999999989,0.0999999999999996,0.244,MAGPHYS (de Graaff+21),0.3,-10.47,0.3819999999999997,0.3819999999999997,1.599664890192324,1.138815570908717,True,0.5854,4.271260007645639,F814W,4681.927988036351,4.201648240202324,0.4548,1.808,0.311,0.0,1.0,0.0
