id,z,fid_run,co_det,MH2_fid,MH2_err,logMH2,logMH2_err,SFR,SFR_err,logSFR,logSFR_err,logSFR_elo,logSFR_ehi,tdep_Gyr,logage,logage_err,tdep_MS_Gyr,dlog_tdep_MS,nsig_tdep_MS,r_kpc,r_lo_kpc,r_hi_kpc,is_ul,size_note,logSigmaH2,logSigmaSFR,logSigmaH2_err,logSigmaSFR_err,logSigmaSFR_elo,logSigmaSFR_ehi,sigma_is_ll,dlog_K98,nsig_K98,dlog_B08,nsig_B08,dlog_RK19,nsig_RK19,dlog_note
hc2,0.4192200005054474,noagn,True,7218885126.55104,1439845068.6857083,9.858470130980548,0.0866223464099599,6.814048422922282,1.205817896129376,0.8334052154856335,0.07685299926949894,0.08457935844849827,0.07076191372345955,1.0594120673206395,9.612839912160336,0.0620743980648755,0.9902142498260195,0.029335743674888365,0.10711136476589507,4.521030952285713,,,True,"unresolved: R < b_maj/2 = 4.52 kpc (beam imaging_v1_header; railed fwhm_min,fwhm_maj)",1.7498153019221814,-1.2752496135727323,,,,,True,0.07772840561059491,0.23240292519658884,0.06492769658197362,0.2792264215978452,0.09751081071699197,0.3076322689102753,"Sigma lower limit: dlog_K98/RK19 are upper bounds (slope 1.4), dlog_B08 ~fixed"
hc3,0.3384299874305725,noagn,True,9816797037.849146,723608646.6003656,9.991969812054649,0.032012400894546,12.45884390913296,1.4221348189724676,1.095477744796803,0.04957324362571653,0.05263814939678636,0.04694234388904069,0.7879380389903544,9.541924098232773,0.0828382782515186,1.026858711344602,-0.1150186245335733,-0.4467102522422284,9.243981387681933,8.535973353433718,10.02078440933074,False,resolved_elliptical (railed nan),1.262071818943309,-1.634420248314536,0.07665331540150896,0.08548943463718033,0.08730241533272995,0.08399119359079878,False,0.40139864703921235,1.2150317379471391,0.17399080549988732,0.7555056263165677,0.42605848697539805,1.3630591769073659,
hc4,0.3555999994277954,noagn,True,9697335931.14467,1137337758.044022,9.98665244052254,0.0509355884838806,1.748547670195696,1.6819366887808191,0.2426774768630105,0.4177500192296072,1.4191316444683417,0.2926779666724184,5.545937406475944,9.699672152317309,0.0470254996711579,1.0187753604595295,0.7358965308483848,1.8953138804277494,3.9277263285516195,3.336155535524463,4.603715138680438,False,resolved_elliptical (railed nan),2.000190132336065,-1.7437848313234654,0.14884843345353396,0.4405411451087277,1.4260070288391962,0.3243791210032994,False,-0.7413315747195757,-1.5175193672706118,-0.6439673583660879,-1.5822692560312626,-0.7240529179173172,-1.5174609597196222,
hc5,0.369269996881485,noagn,True,10025976077.70693,1308956876.7878778,10.00112666403803,0.0566999905278356,5.862807515349671,1.8351788224755967,0.7681056358880638,0.13594306717731697,0.1630562097733102,0.11827150009727339,1.7100981145052925,9.642352523411631,0.0782045312579878,1.0124574091658531,0.2276442652541712,0.8063419973036411,8.141994919430289,7.016020034318482,9.437001739166327,False,resolved_elliptical (railed nan),1.3814851415887508,-1.8515358865612148,0.14067588361093641,0.18723069411140256,0.20775500679766737,0.17482266168640842,False,0.017104357088915112,0.04124826741379786,-0.15776162248641556,-0.5294098997369779,0.04057006379864658,0.10113919640277108,
hc7,0.3708299994468689,noagn,True,4223500539.489611,920236488.999714,9.625672553993352,0.0946261579658504,3.443375062306456,0.8361369578430158,0.536984329884068,0.10545748294505004,0.12080363522029106,0.09440992066214127,1.2265583803875864,9.679276288861749,0.0519145194252441,1.0117429060830037,0.08361805612579588,0.29495805602559905,8.0747624036704,5.980039746431058,10.565606619894208,False,elongated_minor_limit (railed fwhm_min),1.0132331811008974,-2.075455043008387,0.2646831823350224,0.2687458984779529,0.27513014288160753,0.2646059529924609,False,0.3087379453247374,0.5608703388705972,-0.028158896865248195,-0.06739336343396474,0.33588617163934753,0.6201244842425564,
hc9,0.4250400066375732,agn,True,5982758786.449165,575061503.0607232,9.776901493260588,0.0417442933016006,5.011133726097971,0.8522005739580143,0.6999359923915527,0.07385674120354015,0.08095405252434928,0.0682086639509555,1.1938932611777997,9.504606533502049,0.0295519149438415,0.9877049373057429,0.08233827615856375,0.31369521438355386,1.593617903086732,1.1505512642001645,2.10166371757654,False,elongated_minor_limit (railed fwhm_min),2.573953224751128,-0.5030122761179057,0.26496623177635326,0.27188110669871274,0.27389427993046006,0.27040144192752463,False,-0.30382734889510377,-0.5540432140751627,0.0459926281210119,0.10848979329989754,-0.29228632301699586,-0.5417396355881681,
hc10,0.3884499967098236,noagn,True,6211146183.517671,767597880.5583116,9.793171750779598,0.0536718206265604,0.4213060301606358,0.2369535670781432,-0.37540232476409197,0.2442586131750665,0.3589487307660321,0.19379952447908905,14.742599770407942,9.776566366711748,0.0416978056750705,1.0037631522214623,1.1669428266967683,3.63713796313065,3.941247192035206,3.3364425045277697,4.582045745736519,False,elongated_minor_limit (railed fwhm_min),1.8037245337406669,-2.3648495418030224,0.1478608421549569,0.28043615035086006,0.38448193147656345,0.23778229539165535,False,-1.087344447165575,-2.498542985621541,-1.0764250941940625,-3.1511456490227405,-1.0681011343773625,-2.5287608445749403,
hc11,0.346670001745224,noagn,True,8976034486.095543,3370198042.3196373,9.953084512482969,0.1630629221587619,1.8992396736381687,0.6101570808569526,0.2785797737788876,0.1395231244315585,0.16829902986225506,0.12098955818760238,4.7261199366697735,9.83507285351118,0.0309280040140137,1.0229586162885287,0.6646466739861228,2.0636823750716355,3.2883313653087622,,,True,"detected, shape unconstrained (no_detection): assumed no bigger than the beam: R < b_maj/2 = 3.29 kpc (beam k2_meta_v2; railed concentric_extended_sum:fwhm)",2.120953494227068,-1.5535512444770114,,,,,True,-0.7201666945205252,-1.8189628102108077,-0.5696665989349963,-2.024946168160052,-0.7040956713371769,-1.8433270851209698,"Sigma lower limit: dlog_K98/RK19 are upper bounds (slope 1.4), dlog_B08 ~fixed"
hc12,0.3742699921131134,noagn,True,12530866942.65815,1428841616.408497,10.097981118511148,0.0495207580097646,3.427361843724049,1.977212855245472,0.5349599574899752,0.25054040738466554,0.37354733349630626,0.19780156630203588,3.656126056723137,9.657410389219953,0.0703804535187551,1.0101719861560359,0.5586258404268495,1.7315779310230812,5.110054388178533,4.384623560462888,5.89163977425005,False,elongated_minor_limit (railed fwhm_min),1.8829502051242657,-1.6800709558969065,0.13752886644047738,0.2814824672391074,0.3949677125952723,0.23576968266102344,False,-0.5134818011964974,-1.2014462193652826,-0.46770315281620145,-1.3912181046646326,-0.495030745122121,-1.1950480631869074,
jw8,0.3712199926376343,noagn,False,763560823.6711313,254762905.89599237,8.882843637767838,,0.897970670637022,0.5820943147053841,-0.04673784795242076,0.2815240598498236,0.4537450328620244,0.21701863237171093,0.8503182215622476,9.738515262274891,0.04743075202315,1.0115644895005755,,,,,,,,,,,,,,False,,,,,,,no surface density
