ID,ID_[hCOSMSOS],COSMOS-Web-tile,ALMA_ms_name,z,ra,dec,logReff,Dn4000,log(Mstar/Msol),logMstar_err,12+log(O/H),12+log(O/H)_err,log(Mdust_DL14)_noALMA,logMdust_err_noALMA,M_mol [Msun],M_mol_err [Msun],M_dust [Msun],M_dust_err [Msun],logDGR,logDGR_err,tq(Gyr),tq_err,Dust_Fraction,Dust_Fraction_err,log(Dust_Fraction),log(Dust_Fraction)_err,Age(log/yr),Age(log/yr)_err,log(tq/yr),log(tq/yr)_err,id_cigale,bayes.attenuation.Av_ISM,bayes.attenuation.Av_ISM_err,bayes.attenuation.V_B90,bayes.attenuation.V_B90_err,bayes.dust.umean,bayes.dust.umean_err,UV,UV_err,VJ,VJ_err,bayes.sfh.sfr,bayes.sfh.sfr_err,best.reduced_chi_square,best.MCam_u,best.subaru.suprime.IB427,best.SUBARU_B,best.subaru.suprime.IB464,best.MCam_g,best.subaru.suprime.V,best.subaru.suprime.r,best.SUBARU_i,best.vista.vircam.J,best.vista.vircam.H,best.vista.vircam.Ks,best.IRAC1,best.IRAC2,best.IRAC3,best.IRAC4,best.MIPS1,best.PACS_green,best.PSW,best.ALMA6,t_q[bq_no_prior],t_q_err[bq_no_prior],Mstar[Msun],sSFR,sSFR_err,Mdust_mbb,Mdust_sc,Mdust_sc_err,logDGR_cigale(old),fdust_cigale,f_H2
jw8,,t093,uid___A002_X11fc8d6_Xf7bf,0.37122,150.182112,2.113393,,1.94,11.105,0.08,9.031,,,0.10206157733563322,9.0045E8,9.098464558298086E8,1650000.0,2166673.972336348,-2.736975658197649,0.4724896790248968,1.928454769,0.11113524,1.7013496116606562E-5,2.426916888882694E-6,-4.769206433704493,0.14264657141889991,9.8512,0.06400657292843238,9.285209457148612,0.2228520945714861,jw8,0.1,2.1595358231667023E-10,0.1002854592564095,3.4106583186827233E-4,18.135657614987316,3.3200963225167923,2.0023127693966,0.0363982424693881,1.093904905443595,0.0450890838843746,0.1262902074772946,0.1556370874871191,1.6676628445796262,0.0033580949185684,0.0077644631572624,0.0091904034440527,0.0110046144230088,0.0147185707380262,0.0280491095169271,0.0556633369929452,0.0893603543130687,0.1897089310649729,0.2318916542938654,0.2772987651346852,0.1529534314798461,0.1223493201324988,0.085554579808299,0.0522350016759723,0.030368860157597,1.209978178406693,0.6075332444417535,0.0059000762137374,0.4564502711593556,0.2990011047578098,1.2735030810166629E11,-11.835369508714448,0.41899524512016295,1914917.620121928,1709583.7410940735,401761.5246658456,-2.7215692235706466,-4.822849904669783,0.7070654271846385
ctrl3,,t102,,0.346419990062714,150.184392,2.06728,,1.74,10.92483,0.07235,,,,0.17040238437081906,1.1984376847317617E9,2.1288037820893133E8,2008482.178923975,2008482.178923975,-2.775747474278767,0.4710929127833054,1.02056425,0.1281057,2.3880201258129376E-5,4.862920764244071E-6,-4.621962017369858,0.2036381817589841,9.620115,0.1062362313313367,9.008840351082574,0.2200884035108257,ctrl3,0.1000637523020242,0.0035702095244982,0.1002071186541499,0.0035808215568626,,,1.7870186281648823,0.0367213668398725,1.147577370448464,0.0298198860658679,0.067123793676722,0.0880729892661604,1.3939084848182703,,0.0054705480972623,,0.0081452963104766,,,,,0.1685284904354213,0.2059236963601246,0.2511983729576014,0.1287452369423707,0.1058505911309381,0.0724709961927746,0.0443183936797534,0.0310975175787838,,0.3787145518660018,0.0031253409953505,1.5093281315691152,0.4045232413274757,8.410658508333296E10,-12.08134247729237,0.3446481214516675,1317923.9301942966,1306184.584254047,512502.4076057229,-2.9626109030490992,-4.804939656244488,1.42490351206668
hc6,150.173440+02.555236,t057,uid___A002_X11e59f4_X13c56,0.42667,150.17344,2.555236,0.454504239816588,1.72,10.9060909104373,0.114431454596618,8.999,0.0690217391304348,6.86802616294763,0.2134617067390794,1.85E9,1.2136023339059632E8,2497444.266049297,2497444.266049297,-2.8696759232837032,0.5141851463713754,1.23426302164156,0.124568402885542,3.1003083835845866E-5,8.259814704587384E-6,-4.508595105317989,0.2664191326360044,9.95424248473279,0.04950095664671583,9.091407717781172,0.2209140771778117,hc6,0.1000000000048238,9.82228639111131E-7,0.1000079436349605,1.208838357529491E-4,14.886605828872266,3.860314462634152,2.007474704779514,0.0374481391367136,1.398750226637792,0.0314438024078074,0.0286120353702596,0.0337447606552982,0.9847251550801206,6.627049994040161E-4,0.002074870637611,0.002688029306995,0.0036875191980529,0.0043478778746976,0.0083823778327255,0.0199038170523075,0.0371609246578609,0.0917470818437864,0.1220529385743582,0.1432540672562004,0.0869419646914078,0.0682683108773917,0.0496549067303425,0.029156021453206,0.0108832360739898,0.593111591314254,0.4432814078946102,0.0052663503664091,1.7702929652067847,0.5692953219027402,8.055470479235829E10,-12.456045071679164,0.4067118616726361,2874507.3711330635,1363432.943017234,670146.0303278277,-3.132537945270018,-4.44752748378743,2.2965759787322786
ctrl1,,t029,,0.345019996166229,149.87544,2.200613,,1.73,10.74601,0.13235,,,,0.09915157299735546,1.188425996173965E9,2.1110198616248065E8,1999376.2187340225,1999376.2187340225,-2.7740776210361657,0.4710929127833054,0.85045765,0.1246292,3.5882651086424866E-5,6.5273436035816525E-6,-4.445115477844441,0.1819080643696106,9.55926,0.05302851488226132,8.92965269204707,0.2192965269204707,ctrl1,0.2999998456484978,1.908585506526996E-4,0.3004774604514816,8.178721639135488E-4,,,2.03,0.0359533474686415,1.300924718051816,0.0372144997798759,0.0557054161062,0.0741437712841593,0.8161612051953058,,0.0034092542277004,,0.0050994591711827,,,,,0.1032958569625618,0.1272183634704936,0.1569050704600513,0.0844884614721408,0.0703555308790624,0.0514716284690398,0.0414667810615685,0.120108799908904,,0.5775211054210339,0.0047550452001068,1.063846524778098,0.283106403092866,5.571985787556334E10,-11.93561798240199,0.295780488242277,2025090.8242377897,1625052.265942705,371007.45020985627,-2.8641048096026918,-4.439565494137831,2.1328589868768573
ctrl4,,t060,,0.359730005264282,150.094894,2.297028,,1.86,10.68922,0.1465,,,,0.250542926461514,1.2957836756558857E9,2.301721002809797E8,1694128.206495209,2094128.206495209,-2.8835862310510136,0.4710929127833054,0.7181040000000001,0.0958475,4.283347077475996E-5,1.3674759103480254E-5,-4.368216733512488,0.3192540519396403,9.5167,0.0493569772783473,8.856187345851371,0.2185618734585137,ctrl4,0.100142370900083,0.0053342207062916,0.1005231124197682,0.0053648324140734,,,1.8442860674659,0.0390986554061016,1.1177849726318716,0.0405175186840921,0.0742882506056493,0.0948813002709961,0.8943842573759498,,0.0032114323311235,,0.0046024246155724,,,,,0.0851114492206506,0.1037954117549128,0.125102612319876,0.0667411617619579,0.0540857665742419,0.0373350492236806,0.0223561688056308,0.0086601143995562,,0.4512800465030034,0.0056414423063387,1.1958470964691383,0.3256130162115188,4.888999580508413E10,-11.723211049219206,0.3448568741123706,2256410.0386234587,1377468.5954848323,794656.6843519852,-2.973450798101139,-4.335801976794067,2.6504066002008853
hc2,149.790964+01.919023,t032,uid___A002_X11fe144_X532c,0.41922,149.790964,1.919023,0.244451087459729,1.62,10.7937514864966,0.110162556486872,9.01,0.0972826086956522,7.35281343749717,0.15486294051007507,1.7787010236347134E9,3.159534713035346E8,3044374.475970672,3267354.9763637665,-2.7666048828387075,0.3979297893812634,1.34012585519861,0.178683447359814,6.342006069490132E-5,1.3258155376880942E-5,-4.197773346675879,0.20905302252331076,9.74036270970868,0.07537030846283149,9.127145586164536,0.2212714558616453,hc2,1.129198308307028,0.218876942246798,1.1481844372791603,0.2113464421506012,21.133732933044403,1.9113476540262329,2.0879112426148287,0.039543574898985,1.465179879234771,0.0588229958311406,1.6289384240960418,0.8915462882148062,1.7582484211011438,8.442458824022246E-4,0.0016556750986682,0.001954306160981,0.0024010969841927,0.0031676711607105,0.0066012646782341,0.0136819438907579,0.0227749232988228,0.056674263125916,0.078856265632606,0.1015932131683327,0.077330015452378,0.0692703276487832,0.0505120426196911,0.0563954847214178,0.2334663913773368,10.855093084586317,6.130003709443651,0.0623531288333839,0.8939089986604315,0.4196599454130102,6.2194429219267204E10,-10.544733236556851,0.2039255080999023,9913497.027403323,8286019.11994164,2954670.9421989066,-2.3317570239038266,-3.797524605795185,2.859904087814492
hc12,150.602639+02.118054,,,0.37427,150.602639,2.118054,0.878271231546104,1.63,11.2648161150994,0.181230123737753,8.898,0.0722826086956522,8.04661447288374,0.04631276588635387,7.588231881145581E9,2.220945916432853E8,1.4256901569585912E7,2909036.9011471258,-2.726115442366524,0.1195222360988848,0.903505428601043,0.260467390480139,8.11E-5,2.150645917884468E-5,-4.11,0.2057594914972212,9.60205999132796,0.1104607471570026,8.955930766309674,0.2195593076630967,hc12,0.9999837550256768,0.0025490642999793,1.0047670522038052,0.0057035153720117,21.572534911800336,1.312564987350712,2.27700094973431,0.0420972320233957,1.5747178301471956,0.0482205715046337,0.9732334618445168,0.9057955807383424,2.45944091967127,0.0019350712331264,0.0042221230932427,0.0051442936861964,0.0062244263843198,0.0087811574515549,0.0179724228228565,0.0380355972280596,0.0676935173866351,0.1838726304598837,0.2513837437617133,0.3267904187069438,0.2032793417711167,0.1923309872377608,0.1297383300772175,0.1653751918181912,0.4255283774260609,14.454343786555604,7.726564379947323,0.0764716323063349,0.658643383667822,0.4445168737887925,1.3640054798837025E11,-11.214898790111922,0.344692238752245,3.410214850482437E7,1.9089540615654167E7,2035691.13182466,-2.599345116240966,-3.6020343738079026,5.563197504010444
hc10,,,uid___A002_X1214b55_X10ec1,0.38845,149.585279,2.55756136186477,,1.83,10.853887921683928,0.18773,9.043,,,0.36452565897166805,2.5652633252469254E9,3.997812974410792E8,1.2890953290275732E7,5205437.797976036,-2.298846917466212,0.2179779237930426,1.670234,0.16724,1.804667150202777E-4,8.139569539814195E-5,-3.743602886921837,0.451028852544892,9.903089986991944,0.05703354176062869,9.222777320123392,0.2222277732012339,hc10,0.10276181124468,0.0233395511495831,0.1028931094134478,0.0233651933284502,5.451126188428436,6.639394063968044,2.130206242513621,0.0362402841077582,1.177839048687322,0.0322886154786569,0.0464111926615618,0.0501088203188038,0.4850658287960702,0.0010217265503447,0.0027176226615544,0.0033728729987386,0.0043599607445412,0.0053396443769005,0.010286066189643,0.0228469567817855,0.0398956938565613,0.0939742649112523,0.1199647067353429,0.143731980626857,0.0795555005114482,0.0645972500186819,0.04540288561179,0.0273684589961376,0.0134219318023145,0.3556476118371186,1.000522686528618,0.0287662825257279,1.755478842938515,0.5473949518813059,7.143119598994896E10,-12.116588974803935,0.392628221198819,1.1196433420201741E7,9563300.86831733,8026969.478613581,-2.4285241330206744,-3.8048082197820294,3.59123669944975
hc4,149.920863+02.031208,t055xxx,uid___A002_X11faacc_X11914,0.3556,149.920863,2.031208,0.854019428956022,1.55,11.0822670498884,0.22112614789576,9.002,0.0190217391304348,7.80131146372529,0.12011706338420018,4.73324848817946E9,3.60681303319654E8,2.578469878417891E7,5975108.083641458,-2.2637972424893364,0.1359410089518115,1.5666414855103,0.23555219806804,2.133511619613512E-4,5.90574774654217E-5,-3.670904987526821,0.2768087922395284,9.74036270970868,0.08174477806477176,9.194969622710644,0.2219496962271064,hc4,0.6000236699510888,0.0030769537933432,0.6062474898772295,0.0049034829185342,6.645041947023251,2.909193649620185,2.17079662015806,0.0418451444949906,1.4507097163803506,0.0415127103239954,1.241880863050122,0.7049035729721292,1.562878387096517,0.0035471888080507,0.0068875020498148,0.008333974251809,0.0097357902348546,0.0137622762311626,0.0265685804559765,0.0543788764326323,0.0949697738488094,0.2442126906292318,0.317934381331814,0.4045434468142957,0.2264779442862368,0.2070146853681388,0.1383633375309254,0.1526492776513655,0.3158265266518855,10.086760605382842,10.73306911662993,0.1596147773718627,1.8085631470786416,0.5849260521147963,1.2085567543733287E11,-11.106555463438315,0.26012852593822144,2.7237617859406862E7,4.371702382705172E7,1.209124393888193E7,-2.0345087165202846,-3.6470979274021733,3.916447010909127
jw22,,t124,,0.37129,150.350308,2.222278,,1.6,10.42,0.12,9.035,,,0.2259570723346803,3.3980866147373548E9,1.5170029530077472E8,9755984.3222002,2884285.6144777783,-2.541963350788156,0.2164212785817972,0.945105286,0.3053781,2.5685536010084704E-4,7.228663940543685E-5,-3.590311366914801,0.2814293592201292,9.6215,0.10591848414954383,8.975480192193714,0.2197548019219371,jw22,0.5312032612902758,0.1261250895578175,0.5475233785176554,0.1273459352310294,14.231267481992118,5.353934854636337,1.7509174975493,0.0551081498863986,1.0745849709453714,0.0802203124636754,1.1081232522097997,0.710384402856808,2.488361136475044,0.0021646998567768,0.0036811702689567,0.0041372754829517,0.0047630015172164,0.0065624502877345,0.0124552303683014,0.0216824870451779,0.032113583028444,0.0650990764410414,0.0804584618294649,0.0982131283318759,0.0604875163439726,0.0535715174435092,0.035892817678849,0.044160756905574,0.1080315261344323,3.7117326242603936,2.54885560252496,0.0291383022505178,0.8190776229130053,0.4593709988242992,2.6302679918953815E10,-10.46069898182743,0.23582394058465708,9582687.265355164,8240830.672212345,4287583.770667739,-2.615263453920258,-3.4385126849861347,12.919164987019746
